OBJECTID,einwohner,note,plz,qkm,SHAPE_Length,SHAPE_Area
1,11957,01067 Dresden,01067,6.866862,20681.9314362542,17326849.1080026
2,25491,01069 Dresden,01069,5.352996,28487.6643955229,13494714.2571697
3,14811,01097 Dresden,01097,3.276896,20378.0384194409,8270538.33359972
4,28021,01099 Dresden,01099,58.500502,76751.6389313571,147793403.602915
5,5876,01108 Dresden,01108,16.447222,43791.8193661955,41662664.0937452
6,20010,01109 Dresden,01109,24.738921,47771.0730659035,62582277.3835805
7,15089,01127 Dresden,01127,3.241062,27189.298865847,8185221.4697933
8,18915,01129 Dresden,01129,7.41542,30777.48173722,18740356.7976345
9,17555,01139 Dresden,01139,8.437161,26689.0919437581,21308451.8545564
10,11317,01156 Dresden,01156,31.752467,51317.9680593124,80147352.2275804
11,20684,01157 Dresden,01157,8.059465,30078.2993887544,20340789.5524297
12,27666,01159 Dresden,01159,5.92069,22235.3634903237,14928857.6392278
13,19091,01169 Dresden,01169,4.861648,20691.0199852665,12256963.1430693
14,16423,01187 Dresden,01187,5.084035,26076.4206823346,12810014.0444621
15,9741,01189 Dresden,01189,5.311302,18996.9384124195,13375421.0540388
16,17501,01217 Dresden,01217,5.864843,24761.5056767304,14770035.5413111
17,20916,01219 Dresden,01219,6.960999,32098.1676498421,17535355.1887971
18,15536,01237 Dresden,01237,4.271717,21478.6335726074,10757815.1101703
19,15134,01239 Dresden,01239,5.735143,23518.7360255048,14432323.5901641
20,16277,01257 Dresden,01257,8.276596,41002.4681080371,20825558.9503235
21,18995,01259 Dresden,01259,10.37215,35983.0158398057,26094809.1310548
22,31798,01277 Dresden,01277,4.865063,33274.906092611,12261899.9820816
23,21201,01279 Dresden,01279,4.891571,20190.3784428496,12323597.8684614
24,23815,01307 Dresden,01307,3.666063,15605.8372318801,9247422.28004105
25,32890,01309 Dresden,01309,4.730591,20819.3782567054,11929810.2103983
26,8874,01324 Dresden,01324,4.625105,20202.447418628,11668554.2034829
27,10802,01326 Dresden,01326,15.595642,53992.5808731254,39287452.5501978
28,12342,01328 Dresden,01328,41.238013,64271.1932341067,103949883.866445
29,33224,01445 Radebeul,01445,26.357639,50673.1835067808,66664971.6843013
30,22281,"01454 Radeberg, Wachau",01454,68.129401,102838.184811584,172461770.401915
31,9817,01458 Ottendorf-Okrilla,01458,25.967269,44543.5194119899,65843412.3320127
32,4101,01465 Dresden,01465,12.551861,33031.7119360727,31773285.8046118
33,8215,01468 Moritzburg,01468,46.551506,90892.5369373281,117985461.06837
34,7592,01471 Radeburg,01471,54.182052,83572.5704621376,137492228.292611
35,4776,01477 Arnsdorf b. Dresden,01477,35.857419,52019.4481794462,90573367.8952733
36,14551,01558 Großenhain,01558,43.807774,68835.4262435223,111664541.308264
